,puma,AssedImprov_perc_07,LotArea_07,availFAR_perc_07,st_2007,YearBuilt_07,is_residential
12068,4014.0,84.8,2504.0,-30.4,,1925.0,Y
12146,4009.0,71.0,5000.0,30.0,,1950.0,Y
12259,3903.0,81.5,5915.0,35.0,,1965.0,Y
12272,4106.0,84.4,4000.0,48.9,,1920.0,Y
12295,4009.0,45.0,9400.0,25.6,,1931.0,N
12316,4005.0,81.2,1609.0,79.3,,1901.0,Y
12340,3707.0,94.4,9500.0,-27.0,39.0,1927.0,Y
12366,,0.0,2280.0,100.0,,0.0,N
12430,3803.0,97.1,2498.0,-7.3,,0.0,N
12457,3810.0,66.7,2351.0,-19.2,10.0,1900.0,Y
12499,4110.0,70.0,2500.0,-17.8,,1920.0,Y
12500,3903.0,0.0,9397.0,100.0,,0.0,N
12545,,,1911.0,3.7,,2007.0,Y
12549,3809.0,60.2,1230.0,-3.8,,1920.0,Y
12552,3903.0,78.2,8811.0,73.3,,1950.0,Y
12613,4104.0,82.0,5200.0,54.0,,1955.0,Y
12630,4013.0,84.4,2433.0,-12.2,,1910.0,Y
12644,,0.0,3100.0,100.0,,0.0,N
12669,4017.0,84.4,7733.0,52.0,,1910.0,Y
12671,4101.0,80.5,1606.0,85.0,,1920.0,Y
12683,4013.0,84.1,1600.0,-5.6,,1915.0,Y
12699,3903.0,86.2,12000.0,66.0,,1955.0,Y
12731,4003.0,85.0,2000.0,60.0,,1910.0,Y
12736,4113.0,84.1,3000.0,13.3,,1925.0,Y
12741,4008.0,0.0,3000.0,100.0,,0.0,N
12752,4007.0,87.0,11000.0,62.5,,1939.0,N
12760,4006.0,0.0,709.0,100.0,,0.0,N
12786,4003.0,85.6,5000.0,73.3,,1922.0,Y
12791,4001.0,70.0,1925.0,-67.9,,1920.0,Y
12800,4113.0,82.5,6550.0,-6.7,,1955.0,N
12823,4001.0,84.8,2208.0,62.0,,1899.0,Y
12831,4016.0,75.1,2100.0,2.4,,1928.0,Y
