,puma,LotArea_07,availFAR_perc_07,st_2007,recent_built,recent_alter,is_st
11382,4013,3000.0,38.5,,0,1,0
11387,4004,967.0,100.0,,1,1,0
11430,4007,2500.0,28.8,,0,1,0
11435,3901,5000.0,70.0,,0,1,0
11447,4104,6881.0,71.7,,1,1,0
11475,4017,2900.0,78.4,,1,1,0
11502,4107,4009.0,25.6,,1,0,0
11623,4106,3465.0,45.6,,0,1,0
11625,3805,2043.0,0.2,,0,1,0
11669,4105,3800.0,38.0,,0,1,0
11671,3702,2860.0,100.0,,1,1,0
11691,4002,1862.0,47.3,,0,1,0
11740,4106,6000.0,58.0,,0,1,0
11749,3903,3702.0,100.0,,1,1,0
11751,3803,1699.0,53.5,,0,1,0
11824,4112,2205.0,66.0,,0,1,0
11872,3810,1088.0,52.0,,0,1,0
11936,3810,1428.0,39.1,,0,1,0
11963,4008,2000.0,100.0,,1,1,0
11983,4106,2425.0,33.3,,0,1,0
12036,4106,4000.0,38.0,,0,1,0
12042,4106,4000.0,52.2,,0,1,0
12066,3810,2695.0,-41.6,,0,1,0
12068,4014,2504.0,-30.4,,0,1,0
12146,4009,5000.0,30.0,,0,1,0
12259,3903,5915.0,35.0,,0,1,0
12272,4106,4000.0,48.9,,1,1,0
12295,4009,9400.0,25.6,,1,1,0
12316,4005,1609.0,79.3,,0,1,0
12340,3707,9500.0,-27.0,39.0,0,1,1
12430,3803,2498.0,-7.3,,0,1,0
12457,3810,2351.0,-19.2,10.0,0,1,1
12499,4110,2500.0,-17.8,,0,1,0
12500,3903,9397.0,100.0,,1,1,0
12549,3809,1230.0,-3.8,,0,1,0
12552,3903,8811.0,73.3,,1,1,0
12613,4104,5200.0,54.0,,1,1,0
12630,4013,2433.0,-12.2,,0,1,0
12669,4017,7733.0,52.0,,1,1,0
12671,4101,1606.0,85.0,,0,1,0
12683,4013,1600.0,-5.6,,0,1,0
12699,3903,12000.0,66.0,,0,1,0
12731,4003,2000.0,60.0,,0,1,0
12736,4113,3000.0,13.3,,0,1,0
12741,4008,3000.0,100.0,,1,1,0
12752,4007,11000.0,62.5,,0,1,0
12760,4006,709.0,100.0,,1,1,0
12786,4003,5000.0,73.3,,0,1,0
12791,4001,1925.0,-67.9,,0,1,0
12800,4113,6550.0,-6.7,,0,1,0
12823,4001,2208.0,62.0,,1,1,0
12831,4016,2100.0,2.4,,0,1,0
12876,4112,1155.0,-20.0,,0,1,0
12950,4113,2352.0,60.0,,0,1,0
13011,4016,2000.0,-94.4,,0,1,0
13078,4006,2667.0,-8.5,,0,1,0
13145,4104,6200.0,36.0,,0,1,0
13167,4104,10350.0,48.0,,0,1,0
13185,4006,2300.0,3.7,6.0,0,1,1
13228,4005,2500.0,100.0,,0,1,0
13234,4101,26758.0,-2.0,,0,1,0
13259,3810,2583.0,40.7,,0,1,0
13350,4106,3960.0,86.4,,0,1,0
13485,4109,24000.0,85.0,,0,1,0
13552,4001,1452.0,21.4,,0,1,0
13557,4003,1297.0,-16.0,,0,1,0
13581,4016,3364.0,51.1,,1,1,0
13600,4112,2500.0,64.4,,0,1,0
13633,4103,2994.0,-8.3,,0,1,0
13679,4105,4500.0,58.0,,0,1,0
13680,4018,1750.0,-24.8,,1,1,0
13681,4103,3125.0,100.0,,1,1,0
13710,3805,2008.0,37.7,,0,1,0
13744,4012,2037.0,30.5,,0,1,0
13757,3803,2198.0,48.5,,0,1,0
13807,4109,2850.0,24.4,,0,1,0
13862,4016,4200.0,100.0,,0,1,0
13872,4004,5000.0,50.0,,0,1,0
13873,3806,2043.0,18.8,3.0,0,1,1
13886,3903,8625.0,65.0,,0,1,0
13900,4103,3963.0,50.0,,1,1,0
13944,4003,1667.0,30.9,,0,1,0
13967,3902,6000.0,48.0,,0,1,0
14014,3810,1857.0,21.2,,1,1,0
14026,4112,2520.0,16.7,,0,1,0
14065,4001,937.0,100.0,,0,1,0
14076,3701,5287.0,80.7,,0,1,0
14082,4110,2492.0,-3.7,,0,1,0
14121,3708,7500.0,86.9,,1,1,0
14138,4004,1850.0,-12.5,,0,1,0
14161,4103,4000.0,-44.0,,0,1,0
14223,4012,2003.0,44.4,,0,1,0
14267,4107,5000.0,77.6,,1,0,0
14271,3805,8939.0,-27.3,,0,1,0
14285,4012,1600.0,25.9,,0,1,0
14287,4017,2149.0,25.6,,0,1,0
14314,4005,1825.0,48.6,,0,1,0
14335,4105,4000.0,43.3,,0,1,0
14351,3708,2501.0,70.9,,0,1,0
14373,3709,3200.0,56.0,,0,1,0
14375,4012,2517.0,-18.5,,0,1,0
14409,3710,10605.0,14.8,,0,1,0
14416,4112,5000.0,65.0,,0,1,0
14419,4003,1875.0,53.1,,0,1,0
14446,4103,8000.0,26.0,,1,1,0
14459,3706,3019.0,73.8,,1,1,0
14463,4017,2100.0,32.2,,0,1,0
14474,4016,3500.0,71.2,,1,1,0
14491,3810,4130.0,-50.2,14.0,0,1,1
14498,4101,2602.0,49.6,,0,1,0
14504,3708,4375.0,100.0,,1,1,0
14517,4012,4540.0,100.0,,0,1,0
14536,4109,2142.0,15.6,,0,1,0
14544,4016,1600.0,-2.2,,0,1,0
14554,4103,4085.0,55.0,,1,1,0
14567,4008,5000.0,87.2,,1,1,0
14623,4105,3000.0,18.3,,0,1,0
14645,3903,2715.0,100.0,,1,1,0
14679,4105,6000.0,46.7,,1,0,0
14691,4009,3146.0,-26.7,,1,0,0
14703,4104,2000.0,0.0,,0,1,0
14758,3901,4000.0,32.0,,0,1,0
14764,4004,1200.0,100.0,,1,1,0
14772,4006,2000.0,25.9,,0,1,0
14789,4108,6242.0,100.0,,1,1,0
14799,3810,815.0,32.3,,0,1,0
14802,4103,3242.0,41.1,,0,1,0
14827,3902,3720.0,53.3,,1,1,0
14851,4109,5014.0,97.8,,1,1,0
14870,4004,3167.0,61.7,,1,1,0
14888,4101,2500.0,68.0,,1,1,0
14956,3901,7600.0,66.0,,0,1,0
14958,4013,2000.0,19.3,,0,1,0
14963,4104,5000.0,40.0,,1,1,0
14978,4103,8200.0,40.0,,1,1,0
14979,4106,65000.0,83.1,,0,1,0
15012,3901,3807.0,100.0,,1,1,0
15017,4015,4000.0,2.0,,0,1,0
15053,4110,2500.0,13.3,,0,1,0
15076,4014,2504.0,-76.0,,1,0,0
15077,4103,3375.0,100.0,,1,1,0
15141,4102,2678.0,43.5,,1,1,0
15151,3903,5000.0,5.0,,0,1,0
15186,3903,5000.0,-48.3,,1,1,0
15192,4101,2348.0,53.6,,0,1,0
15196,4105,4000.0,40.0,,0,1,0
15215,3807,2469.0,100.0,346.0,1,1,1
15246,3808,1975.0,42.0,1.0,0,1,1
15253,4105,4000.0,58.0,,0,1,0
15261,4105,3575.0,48.3,,0,1,0
15289,4016,11440.0,26.7,,0,1,0
15290,3805,1360.0,68.4,,0,1,0
15293,4001,2500.0,50.6,,0,1,0
15298,4113,3000.0,61.7,,0,1,0
15302,4006,2729.0,52.5,,0,1,0
15364,4001,5912.0,70.8,,1,1,0
15374,4003,1775.0,30.9,,0,1,0
15379,4106,7200.0,100.0,,1,1,0
15408,4109,2500.0,16.8,,0,1,0
15484,4105,6000.0,54.0,,1,1,0
15492,3805,1600.0,77.0,,0,1,0
15501,3902,5565.0,76.7,,0,1,0
15556,4017,4059.0,38.4,,0,1,0
15571,3710,1975.0,50.0,,0,1,0
15584,4104,6000.0,24.0,,0,1,0
15594,3705,1694.0,61.6,,0,1,0
15607,4001,3450.0,81.5,,1,1,0
15640,4008,1800.0,-60.0,,0,1,0
15659,3808,2581.0,46.5,,0,1,0
15664,4113,3450.0,20.0,,1,1,0
15680,4003,2000.0,37.4,,0,1,0
15698,4014,2100.0,5.0,,0,1,0
15706,4013,7400.0,67.0,,0,1,0
15708,3803,1873.0,100.0,,1,1,0
