,puma,LotArea_07,availFAR_perc_07,st_2007,recent_built,recent_alter,is_st,has_disappered,has_lotincreased,has_merged
8508,4007,2491.0,100.0,,1,1,0,0,0,0
8539,4112,7550.0,60.2,,0,1,0,1,0,1
8594,3901,7920.0,100.0,,1,1,0,0,1,1
8606,nan,4000.0,100.0,,0,0,0,0,1,1
8607,4009,4000.0,1.6,,0,0,0,1,0,1
8649,3901,6880.0,46.0,,1,1,0,0,0,0
8736,4003,2500.0,56.4,,1,1,0,0,1,1
8754,3706,4863.0,100.0,,0,0,0,1,0,1
8760,4104,3893.0,50.0,,1,1,0,0,0,0
8799,3707,2500.0,100.0,,1,1,0,0,1,1
8835,4006,3025.0,100.0,,0,0,0,1,0,1
8873,4101,4145.0,80.7,,0,0,0,1,0,1
8939,3707,4750.0,100.0,,0,1,0,1,0,1
9214,nan,2850.0,100.0,,0,0,0,1,0,1
9218,4004,7500.0,100.0,,0,0,0,1,0,1
9226,4004,2500.0,100.0,,1,1,0,0,1,1
9276,nan,2019.0,46.9,,0,0,0,1,0,1
9277,nan,3742.0,100.0,,0,0,0,0,1,1
9295,3803,5346.0,41.3,20.0,0,0,1,0,1,1
9306,4103,6000.0,73.3,,1,1,0,0,0,0
9371,3702,5000.0,28.9,,1,1,0,0,0,0
9419,4017,5800.0,100.0,,1,1,0,0,0,0
9531,4103,27515.0,-16.6,71.0,0,0,1,1,0,1
9570,4011,6000.0,71.6,,1,0,0,0,0,0
9575,4017,2050.0,100.0,,0,0,0,1,0,1
9587,3701,2900.0,56.4,,1,1,0,0,1,1
9608,4016,4820.0,40.0,,1,1,0,0,0,0
9615,4003,1667.0,100.0,,1,1,0,0,1,1
9622,nan,2906.0,-2.4,,1,0,0,0,0,0
9654,4001,1585.0,100.0,,1,1,0,0,0,0
9686,4004,2425.0,82.4,,0,0,0,1,0,1
9757,3809,3148.0,22.0,,1,1,0,0,0,0
9816,3705,851.0,100.0,,0,0,0,1,0,1
9905,4007,2000.0,100.0,,0,0,0,1,0,1
9932,4105,2800.0,100.0,,1,1,0,0,0,0
9933,4103,3958.0,-38.7,,0,0,0,1,0,1
9958,4108,2120.0,67.2,,0,0,0,1,0,1
10117,3810,2028.0,66.9,,0,0,0,1,0,1
10119,4107,4000.0,48.0,,1,1,0,0,0,0
10145,3709,63275.0,44.8,,0,0,0,1,0,1
10172,4016,1800.0,52.2,,0,0,0,1,0,1
10200,4103,5140.0,3.0,,0,0,0,0,1,1
10250,nan,5102.0,-33.3,,1,1,0,0,0,0
10261,3810,7793.0,91.5,,0,1,0,1,0,1
10265,3903,2600.0,-80.0,,0,0,0,0,1,1
10271,4007,5000.0,67.1,,0,0,0,1,0,1
10337,4109,7191.0,60.0,,1,1,0,0,0,0
10396,3810,4781.0,-19.0,,0,0,0,1,0,1
10400,4112,6000.0,100.0,,1,0,0,0,0,0
10405,3702,2500.0,43.3,,1,1,0,0,1,1
10472,nan,3000.0,-8.3,,1,0,0,0,0,0
10510,4004,2083.0,42.3,,0,0,0,1,0,1
10516,4003,2500.0,100.0,,1,1,0,0,0,0
10522,3807,24925.0,-71.9,384.0,0,0,1,0,1,1
10569,3703,4500.0,100.0,,1,1,0,0,0,0
10618,4106,6000.0,62.0,,1,1,0,0,0,0
10643,4004,4000.0,61.0,,1,1,0,0,0,0
10647,4106,2370.0,100.0,,1,1,0,0,0,0
10651,3807,2469.0,80.8,,0,0,0,1,0,1
10829,4102,3072.0,100.0,,1,1,0,0,0,0
10853,4001,2500.0,86.7,,0,1,0,1,0,1
10872,3705,3513.0,62.8,,0,0,0,1,0,1
10900,4018,6800.0,100.0,,0,0,0,1,0,1
10938,4001,1867.0,100.0,,0,1,0,1,0,1
10941,nan,1600.0,25.9,,1,0,0,0,0,0
10968,4103,4000.0,35.0,,1,1,0,0,0,0
10987,4004,2050.0,39.9,,0,0,0,1,0,1
10998,nan,4000.0,100.0,,1,1,0,0,0,0
11026,3704,5000.0,72.4,16.0,1,1,1,0,0,0
11122,4017,5800.0,61.6,,0,1,0,1,0,1
11172,4101,7500.0,83.4,,0,1,0,1,0,1
11193,4010,6450.0,86.8,,1,1,0,0,1,1
11214,4104,4000.0,2.0,,1,1,0,0,0,0
11248,4103,1200.0,-26.2,,0,0,0,1,0,1
11300,4113,2000.0,3.2,,1,0,0,0,0,0
11375,4003,3617.0,100.0,,1,1,0,0,1,1
11387,4004,967.0,100.0,,1,1,0,0,0,0
11437,4014,2004.0,-92.0,,0,0,0,1,0,1
11447,4104,6881.0,71.7,,1,1,0,0,0,0
11475,4017,2900.0,78.4,,1,1,0,0,0,0
11502,4107,4009.0,25.6,,1,0,0,0,0,0
11514,4016,4000.0,14.4,,0,0,0,1,0,1
11585,nan,2514.0,-58.3,,1,0,0,0,0,0
11671,3702,2860.0,100.0,,1,1,0,0,0,0
11719,4013,6015.0,100.0,,0,0,0,1,0,1
11749,3903,3702.0,100.0,,1,1,0,0,0,0
11813,nan,8000.0,100.0,,0,0,0,1,0,1
11820,3810,23397.0,-2.0,,0,0,0,1,0,1
11900,nan,9593.0,100.0,,1,1,0,0,0,0
11926,4007,1612.0,27.6,,0,0,0,1,0,1
